Numéro notice,Titre,Auteur,Titre Périodique,Volume,Numéro,Date,DateDébut,DateFin,Collation,Editeur,Lieu,Notes,Type,Sujets
346,Éclats de Nuit,"BISHOP, Marc",Clik,,33,été 1993,1993-06-21,1993-09-21,p. 8-9,,,,Compte rendu,"La Nuit sur l'étang|Garolou|Paquette, Robert|Demers, Paul|Aymar, Marcel|Karkour, Carine|Brasse-Camarade|Paiement, Michel|Brouhaha"
347,On ne refuse personne à la Brunante,"DUBÉ, Marco",Clik,,32,février 1993,1993-02-01,1993-02-28,p. 12-13,,,,Texte d'information,"La Brunante à la SRC|La Nuit sur l'étang|Demers, Paul"
348,Tournant décisif,"BOURGAULT, Daniel",Clik,4,18,juin - août 1990,1990-06-01,1990-08-31,p. 15-17,,,,Analyse,industrie|diffusion|financement
349,Paul Demers,"COUILLARD, Claude",Clik,,22,février 1991,1991-02-01,1991-02-28,p. 23,,,,Critique,"Demers, Paul|Paul Demers (éponyme)"
350,Langue et culture : stratégies pour l'avenir,"DE BLOIS, Pierre",Éducation et francophonie,21,2,août 1993,1993-08-01,1993-08-31,p. 75-77,,,,Opinion,langue|Festival Franco-ontarien|culture|francophonie internationale|historique
351,Swing. S'amuser... c'est du sérieux,"CLOUTIER, Patricia",Le Soleil,,,28 janvier 2006,2006-01-28,2006-01-28,p. A22,,,,Annonce,"Swing|Bénac, Michel|Goulet, Jean-Philippe|techno-trad|tournées"
352,Le groupe sera à Buckingham ce soir. Le football porte chance à Swing,"BARRIÈRE, Caroline",Le Droit,,,14 juillet 2000,2000-07-14,2000-07-14,p. 42,,,,Annonce,"Swing|techno-trad|Bénac, Michel|Lalonde, Bobby"
353,Swing en piste pour une autre électro-gigue!,,Le Droit,,,23 avril 2003,2003-04-23,2003-04-23,p. 39,,,,Annonce,"Swing|folklore|Bénac, Michel|Goulet, Jean-Philippe|pop|La vie comme ça|influences musicales"
354,Swing. Reels électroniques,"BOUCHARD, Geneviève",Le Soleil,,,26 octobre 2004,2004-10-26,2004-10-26,p. B6,,,,Portrait,"Swing|Bénac, Michel|Goulet, Jean-Philippe|techno-trad|folklore"
355,Chez Bobby Lalonde,,Le Droit,,,17 novembre 2006,2006-11-17,2006-11-17,p. 35,,,,Portrait,"Lalonde, Bobby"
