Numéro notice,Titre,Auteur,Titre Périodique,Volume,Numéro,Date,DateDébut,DateFin,Collation,Editeur,Lieu,Notes,Type,Sujets
645,"La francophonie ontarienne en fête. À Toronto, c'est la Franco-fête",,L'Express,,Sur les traces de Champlain,été 2008,2008-06-21,2008-09-21,p. 13,,,,Annonce,Franco-fête
646,Les Héritiers de Champlain. La francophonie ontarienne en musique,,L'Express,Sur les traces de Champlain,,été 2008,2008-06-21,2008-09-21,p. 14,,,,Annonce,Les héritiers de Champlain
647,Mes aïeux s'en viennent!,"NOGUÈS, Aline",L'Express,,18,mai 2008,2008-05-01,2008-05-31,p. 1-2,,,,Annonce,"Franco-fête|fête de la musique|Lindsey, Andréa|En Bref"
648,Soirée auteurs-compositeurs-interprètes au Tranzac,"SUNE, Frédéric",L'Express,,17,mai 2008,2008-05-01,2008-05-31,p. 10,,,,Compte rendu,"Rencontres en chansons|Roy, Joëlle|Tarantino, Diane"
649,Gisèle Fredette et les poètes francophones,"SUNE, Frédéric",L'Express,,17,mai 2008,2008-05-01,2008-05-31,p. 13,,,,Compte rendu,"Fredette, Gisèle|La poésie dans la Chanson"
650,Rencontres en Chansons rejoint le cyberespace,"SUNE, Frédéric",L'Express,,14,avril 2008,2008-04-01,2008-04-30,p. 7,,,,Texte d'information,"Rencontres en chansons|Dubeau, Éric|Dionne, Bernard|Nguyen, Éliane|Tarantino, Diane|Roy, Joëlle"
651,La Franco-fête continue de swinguer!,"BUXEDA, Yann",L'Express,,24,juin 2008,2008-06-01,2008-06-30,p. 1-2,,,,Annonce,Franco-fête|Mes Aïeux
652,Sarah-Hélène Côté multiplie les distinctions à la Relance d'Ontario Pop,,L'Express,,24,juin 2008,2008-06-01,2008-06-30,p. 12,,,,Compte rendu,"Ontario Pop|Côté, Sarah-Hélène|Robitaille, Damien|Boissonneault, Gabrielle|Lalonde, Jean-Marc"
653,"Andrea Lindsay, une passion francophone","NOGUÈS, Aline",L'Express,,11,mars 2008,2008-03-01,2008-03-31,p. 8,,,,Texte d'information,"Lindsey, Andréa"
654,Gisèle Fredette lance son nouveau disque,"SUNE, Frédéric",L'Express,,10,mars 2008,2008-03-01,2008-03-31,p. 8,,,,Annonce,"Fredette, Gisèle|Parlons de toi"
655,Rencontres en Chansons. Norbert Lepage lance son nouveau disque,"SUNE, Frédéric",L'Express,,9,mars 2008,2008-03-01,2008-03-31,p. 11,,,,Annonce,"Lepage, Norbert|Ça s'en vient|Rencontres en chansons"
656,Francoforce méritait mieux,,L'Express,,27,juillet 2008,2008-07-01,2008-07-31,p. 1 et 6,,,,Compte rendu,"Francoforce, |Paquette, Stéphane (Stef)|Sasyniak, Shawn|Desjardins, Dominique|Lefebvre, Amélie|R. Léo"
657,Trois jours de Fancoforce pour Toronto,"BUXEDA, Yann",L'Express,,25,juin 2008,2008-06-01,2008-06-30,p. 14,,,,Compte rendu,"Francoforce, |Lefebvre, Amélie"
658,L'Écho d'un peuple a accueilli son 100 000e spectateur,"BOULAY, Annick",L'Express,,28,juillet 2008,2008-07-01,2008-07-31,p. 7,,,,Compte rendu,L'écho d'un peuple
659,Garolou en spectacle à la slague,,Le Voyageur,,,15 mars 1978,1978-03-15,1978-03-15,p. 26,,,,Texte d'information,Garolou|critique
660,La Nuit sur l'égang,,Le Voyageur,,,22 février 1978,1978-02-22,1978-02-22,p. 31,,,,Annonce,La Nuit sur l'étang
661,Premier spectacle de la saison à la Slague,,Le Voyageur,,,4 octobre 1978,1978-10-04,1978-10-04,p. 31,,,,Texte d'information,"Paquette, Robert"
662,Robert Paquette: Un des nôtres,,Le Voyageur,,,23 mai 1979,1979-05-23,1979-05-23,p. 32,,,,Critique,"Paquette, Robert|bilinguisme"
663,Robert Paquette compositeur-interprète,,Le Voyageur,,,2 mai 1979,1979-05-02,1979-05-02,p. 35,,,,Portrait,
664,Purlaine à La Slagu,,Le Voyageur,,,19 septembre 1979,1979-09-19,1979-09-19,p. 12,,,,Annonce,"Purlaine|Demers, Paul|de Grandmont, Richard"
665,Cano: un nouveau microsillon,"FLEYFEL, Serge",Le Voyageur,,,6 septembre 1979,1979-09-06,1979-09-06,p. 6 et 12,,,,Portrait,"CANO-musique|Rendezvous|chanson en anglais|Paiement, Rachel|Gallagher, Michael|Kendel, Michel|Kohut, Wasyl|Paiement, André"
666,"""Purlaine"" en spectacle à Sudbury",,Le Voyageur,,,12 septembre 1979,1979-09-12,1979-09-12,p. 16,,,,Annonce,"Purlaine|Demers, Paul|de Grandmont, Richard|Grouette, Alain|Proulx, Yves"
667,Les francophones seront récompensés,"ST-PIERRE, Philippe",Le Voyageur,,,31 janvier 2001,2001-01-31,2001-01-31,p. 1,,,,Texte d'information,Gala de la chanson et de la musique franco-ontariennes|prix Trille Or|APCM (Association des professionnels de la chanson et de la musique)
668,"Les flammes, une chanson crée par Chuck Labelle et les élèves","LEMAIRE, Karine",Le Voyageur,,,31 janvier 2001,2001-01-31,2001-01-31,p.10,,,,Texte d'information,"Labelle, Jean-Guy (Chuck)|musique dans les écoles"
669,Les finalistes du 1er Gala de la chanson et de la musique franco-ontarienne,,Le Voyageur,,,31 janvier 2001,2001-01-31,2001-01-31,p. 8,,,,Texte d'information,Gala de la chanson et de la musique franco-ontariennes|finalistes
670,"Oui, la culture franco-ontarienne existe",,Le Voyageur,,,14 mars 2001,2001-03-14,2001-03-14,p. 139,,,,Entrevue,"Paquette, Robert|culture|Gala de la chanson et de la musique franco-ontariennes|état de l'industrie"
671,La Nuit sur l'étang,"BERGER, Mathieu",Le Voyageur,,,19 septembre 2001,2001-09-19,2001-09-19,p. 1,,,,Annonce,La Nuit sur l'étang
672,Corrinne Prévost a conquis le public,"BONIN, Geneviève",Le Voyageur,,,3 octobre 2001,2001-10-03,2001-10-03,p. 11,,,,Compte rendu,"Prévost, Corrinne"
673,Une autre folle Nuit à Sudbury,"FECTEAU, Jean-François",Le Voyageur,,,17 octobre 2001,2001-10-17,2001-10-17,p. 14,,,,Compte rendu,"La Nuit sur l'étang|Konflit Dramatik|Deux Saisons|Latreille, Éric"
674,Robert Paquette honoré deux fois par la SOCAN,,Le Voyageur,,,28 novembre 2001,2001-11-28,2001-11-28,p. 2,,,,Annonce,"Paquette, Robert|SOCAN (société canadienne des auteurs, compositeurs et éditeurs de la musique)"
675,Yvan Vollé et Philippe Flauhaut joueront en duo au TNO,"FECTEAU, Jean-François",Le Voyageur,,,27 février 2002,2002-03-27,2002-03-27,p. 4,,,,Annonce,"Vollé, Yvan (Yvan Bilodeau)|Flahaut, Philippe"
676,Un groupe sudburois en vitrine à MuchMusic,,Le Voyageur,,,23 janvier 2002,2002-01-23,2002-01-23,p. 7,,,,Texte d'information,Konflit Dramatik|vidéoclip
677,La Nuit sur l'étang partage la scène avec le TNO,"LEVASSEUR, William",Le Voyageur,,,21 décembre 2005,2005-12-21,2005-12-21,p. 1,,,,Annonce,La Nuit sur l'étang
678,De grands noms s'ajoutent à La Nuit sur l'étang,,Le Voyageur,,,1 février 2006,2006-02-01,2006-02-01,p. 3,,,,Annonce,La Nuit sur l'étang
679,La grève ne posera pas de problème,"LEVASSEUR, William",Le Voyageur,,,22 mars 2006,2006-03-22,2006-03-22,p. 1,,,,Texte d'information,La Nuit sur l'étang
680,Un succès francophone!,,Le Voyageur,,,mai 2006,2006-05-01,2006-05-31,p. 11,,,,Compte rendu,La Nuit sur l'étang
681,"Ça ""swingnera"" au Navy League hall","LEVASSUR, William",Le Voyageur,,,juin 2006,2006-06-01,2006-06-30,p. 9,,,,Annonce,"Swing|Bénac, Michel|Goulet, Jean-Philippe"
682,"Après la musique, la télévision","LEVASSEUR, William",Le Voyageur,,,21 juin 2006,2006-06-21,2006-06-21,p. 15,,,,Texte d'information,Konflit Dramatik|Morgue
683,Konflit dramatik finaliste dans deux catégories,"LEVASSEUR, William",Le Voyageur,,,23 août 2006,2006-08-23,2006-08-23,p. 3,,,,Annonce,Konflit Dramatik|Morgue|Prix de Musique et film du nord de l'Ontario
684,L'APCM souhaite relancer le concours de chanson populaire,"RHÉAUME, Stéphanie",Le Voyageur,,,6 septembre 2006,2006-09-06,2006-09-06,p. 2,,,,Texte d'information,APCM (Association des professionnels de la chanson et de la musique)|Ontario Pop
685,Un francophone récompensé au gala de Musique et film en mouvement,"LESAGE, Lysanne",Le Voyageur,,,20 septembre 2006,2006-09-20,2006-09-20,p. 2,,,,Annonce,"Berthiaume, Christian|Konflit Dramatik|Prix de Musique et film du nord de l'Ontario"
686,Une Nuit qui nous fera danser jusqu'aux petits heures du matin,"DE LA RIVA, Paul",Le Voyageur,,,4 mars 1992,1992-03-04,1992-03-04,p. 13,,,,Annonce,La Nuit sur l'étang
687,Les franco-ontariens sortent de l'underground culturel,"DE LA RIVA, Paul",Le Voyageur,,,11 mars 1992,1992-03-11,1992-03-11,p. 1-3,,,,Compte rendu,"La Nuit sur l'étang|DiCaire, Nathalie|Gauvreau, Josée|Lajoie, Josée|Lanthier, André|Karkour, Carine|Gibson, Gary|Labelle, Jean-Guy (Chuck)|Rodéo Drive|Speedbois|Doyon, Yves|Liberos"
688,"À travers les branches, autour de l'Étang","MARCOUX, Bondfield",Le Voyageur,,,11 mars 1992,1992-03-11,1992-03-11,p. 5,,,,Compte rendu,La Nuit sur l'étang
689,"Speedbois, Karkour et le TNO à l'honneur","DE LA RIVA, Paul",Le Voyageur,,,11 mars 1992,1992-03-11,1992-03-11,p. 10,,,,Annonce,"La Nuit sur l'étang|Prix du Nouvel-Ontario|TNO|Prix de la Société Radio-Canada|Karkour, Carine|Prix APCM|Speedbois|Girouard, Marc|Doyon, Yves|Fleury, Sylvain|prix CBON"
690,Leloup nous fait danser comme des brebis,"DE LA RIVA, Paul",Le Voyageur,,,11 mars 1992,1992-03-11,1992-03-11,p. 10,,,,Compte rendu,La Nuit sur l'étang
691,Une tournée provinciale qui fera brasser l'Ontario français,"DE LA RIVA, Paul",Le Voyageur,,,8 avril 1992,1992-04-08,1992-04-08,p. 15,,,,Annonce,"Brasse-Camarade|Lamoureux, François|Lamoureux, Pierre|Bondi, Arnold|tournées"
692,Paul Demers: un artiste à redécouvrir,"DE LA RIVA, Paul",Le Voyageur,,,20 mai 1992,1992-05-20,1992-05-20,p. 15,,,,Compte rendu,"Demers, Paul|Paul Demers (biographie)|Albert, Pierre|Biographie"
693,Une Saint-Jean à la saveur franco-ontarienne,"DE LA RIVA, Paul",Le Voyageur,,,1 juillet 1992,1992-07-01,1992-07-01,p. 2,,,,Compte rendu,"Labelle, Jean-Guy (Chuck)|Gibson, Gary|Rodéo Drive|country|Lanthier, André"
694,"Pour Paquette, Aymar et Demers, c'est reparti!","MARCOUX, Bondfield",Le Voyageur,,,8 juillet 1992,1992-07-08,1992-07-08,p. 9,,,,Texte d'information,"Paquette, Robert|Demers, Paul|Aymar, Marcel"
695,Ça fait déjà vingt ans!,,Le Voyageur,,,septembre 1992,1992-09-01,1992-09-30,p. 1,,,,Texte d'information,La Nuit sur l'étang
696,Dix chandelles pour LA BRUNANTE!,"GAUTHIER, Jacqueline",Le Voyageur,,,novembre 1992,1992-11-01,1992-11-30,p. 1,,,,Annonce,La Brunante|La Nuit sur l'étang
697,La BRUNANTE de La Nuit sur l'étang: dix années de belles découvertes,"GAUTHIER, Jacqueline",Le Voyageur,,,novembre 1992,1992-11-01,1992-11-30,p. 2,,,,Texte d'information,La Brunante|La Nuit sur l'étang
698,De Speedbois à... EN BREF,"DOYON, Yves",Le Voyageur,,,novembre 1992,1992-11-01,1992-11-30,p. 3,,,,Reportage,"Speedbois|En Bref|Doyon, Yves|Fleury, Sylvain|Girouard, Marc|Laforest, Martin|Lafores, Patrick"
699,La Brunante a déjà dix ans,"MILLETTE, Dominique",Le Voyageur,,,11 novembre 1992,1992-11-11,1992-11-11,p. B8,,,,Compte rendu,La Brunante
700,Moins de quarante jours avant la 20e Nuit sur l'étang!,"GAUTHIER, Jacqueline",Le Voyageur,,,janvier 1993,1993-01-01,1993-01-31,p. 1,,,,Annonce,La Nuit sur l'étang
701,En vedette dans ce numéro des nouvelles de la Nuit sur l'étang,,Le Voyageur,,,janvier 1993,1993-01-01,1993-01-31,p. 2-3,,,,Portrait,"Paquette, Robert|Aymar, Marcel|Demers, Paul|Brasse-Camarade|Garolou|La Nuit sur l'étang"
702,"La 20e Nuit - un retour aux succès, un départ vers l'avenir","MILLETTE, Dominique",Le Voyageur,,,3 février 1993,1993-02-03,1993-02-03,p. 16,,,,Annonce,"La Nuit sur l'étang|Paquette, Robert|Aymar, Marcel|Garolou|Paiement, Michel|Karkour, Carine|Brouhaha|Brasse-Camarade|Demers, Paul"
703,Le Gala du 20e anniversaire de la Nuit sur l'étang!,"GAUTHIER, Jacqueline",Le Voyageur,,,10 février 1993,1993-02-10,1993-02-10,p. 1,,,,Annonce,La Nuit sur l'étang
704,En vedette dans ce numéro Des nouvelles de la Nuit sur l'étang,,Le Voyageur,,,10 février 1993,1993-02-10,1993-02-10,p. 3,,,,Portrait,"Brouhaha|Paiement, Michel"
705,Quel est votre plus beau souvenir de la Nuit sur l'étang?,"Gauthier, Jacqueline",Le Voyageur,,,17 février 1993,1993-02-17,1993-02-17,p. 1,,,,Reportage,"La Nuit sur l'étang|Demers, Paul|Aymar, Marcel"
706,En vedette dans ce numéro,,Le Voyageur,,,17 février 1993,1993-02-17,1993-02-17,p. 2-3,,,,Portrait,"Karkour, Carine|Labelle, Jean-Guy (Chuck)|Poliquin, Donald"
707,Félicitations: 1973: première Nuit sur l'étang. 1993: 20ième Nuit sur l'étang,,Le Voyageur,,,3 mars 1993,1993-03-03,1993-03-03,p. b6-b7,,,,Reportage,La Nuit sur l'étang
708,20e Nuit sur l'étang: entre la folie musicale et les exigences des caméras,"MILLETTE, Dominique",Le Voyageur,,,10 mars 1993,1993-03-10,1993-03-10,p. 1 et 16,,,,Reportage,La Nuit sur l'étang|identité
709,D'un succès à l'autre Brasse-Camarade,"MILLETTE, Dominique",Le Voyageur,,,10 mars 1993,1993-03-10,1993-03-10,p. 16,,,,Annonce,Brasse-Camarade|Prix de la Nuit sur l'étang|Prix APCM
710,"Production, distribution et diffusion","MILLETTE, Dominique",Le Voyageur,,,17 mars 1993,1993-03-17,1993-03-17,p. 11 et 22,,,,Texte d'information,"APCM (Association des professionnels de la chanson et de la musique)|diffusion|production|Aymar, Marcel|Paquette, Robert|Demers, Paul|Lamoureux, Pierre|distribution"
711,L'APCM voit loin en musique,"MILLETTE, Dominique",Le Voyageur,,,19 mai 1993,1993-05-19,1993-05-19,p. 5,,,,Annonce,APCM (Association des professionnels de la chanson et de la musique)|Quatorze|artistes variés|compilation
712,La Nuit sur l'étang 1967,,Le Voyageur,,,18 décembre 1986,1986-12-18,1986-12-18,p. 15,,,,Annonce,La Nuit sur l'étang
713,La Nuit sur l'étang 14 ans déjà,,Le Voyageur,,,4 février 1987,1987-02-04,1987-02-04,p. 17,,,,Annonce,La Nuit sur l'étang
714,CBON diffusera la 14ième Nuit sur l'étang,,Le Voyageur,,,25 février 1987,1987-02-25,1987-02-25,p. 15,,,,Texte d'information,La Nuit sur l'étang|Radio-Canada
715,Quand le rêve débordera la nuit...,,Le Voyageur,,,4 mars 1987,1987-03-04,1987-03-04,p. 1 et 24,,,,Critique,"La Nuit sur l'étang|Poliquin, Donald|Aymar, Marcel|Roy, Joëlle|Myner, Janie (Renée, Janie)|Bastien, Richard|Les Cubes|Bourse Bertrand|Scott, Micheline"
716,Un jour j'irai dans l'Nord,,Le Voyageur,,,11 décembre 1985,1985-12-11,1985-12-11,p. 12,,,,Compte rendu,"Demers, Paul|Purlaine"
717,"À la Brunante: sur les traces de ""La Nuit...""","DALLAIRE, Michel",Le Voyageur,,,6 novembre 1985,1985-11-06,1985-11-06,p. 1,,,,Compte rendu,La Brunante
718,"La bourse André Paiement: Paul Demers, premier récipiendaire",,Le Voyageur,,,10 juillet 1985,1985-07-10,1985-07-10,p. 12,,,,Annonce,"Bourse André Paiement|Demers, Paul|Paiement, André"
719,CBON présente CANO en concert,,Le Voyageur,,,19 juin 1985,1985-06-19,1985-06-19,p. 19,,,,Annonce,CANO|CBON|Radio-Canada
720,Suives l'aventure du 10e festival franco-ontarien,,Le Voyageur,,,12 juin 1985,1985-06-12,1985-06-12,p. 18,,,,Annonce,Festival Franco-ontarien
721,Le festival franco-ontarien a 10 ans,,Le Voyageur,,,10 avril 1985,1985-04-10,1985-04-10,p. 7,,,,Annonce,Festival Franco-ontarien
722,Le nouveau son de Robert Paquette,"REEVES, Hubert",Le Voyageur,,,6 février 1985,1985-02-06,1985-02-06,p. 20,,,,Annonce,"Paquette, Robert|Gare à vous"
723,Ontario Pop - un succès qui fait chanter l'Ontario,,Le Voyageur,,,9 juillet 1986,1986-07-09,1986-07-09,p. 6,,,,Compte rendu,"Ontario Pop|Myner, Janie (Renée, Janie)|Lanoix, Joëlle"
724,La Saint-Jean a Elliot Lake et à la radio!,,Le Voyageur,,,18 juin 1986,1986-06-18,1986-06-18,p. 17,,,,Annonce,"Lalonde, Michel|CBON|Radio-Canada"
725,"La Nuit sur l'étang. Place aux ""yuppies""","DALLAIRE, Michel",Le Voyageur,,,12 mars 1986,1986-03-12,1986-03-12,p. 17,,,,Compte rendu,"La Nuit sur l'étang|Bourse Bertrand|Lalonde, Michel"
726,La Nuit sur l'étang 1986 présente Raymond Simond,"DALLAIRE, Michel",Le Voyageur,,,26 février 1986,1986-02-26,1986-02-26,p. 5,,,,Texte d'information,La Nuit sur l'étang|historique
727,La Nuit sur l'étang,,Le Voyageur,,,12 février 1986,1986-02-12,1986-02-12,p. 16,,,,Annonce,La Nuit sur l'étang
728,La nuit sur l'étang,,Le Voyageur,,,1 janvier 1986,1986-01-01,1986-01-01,p. 8,,,,Annonce,La Nuit sur l'étang
729,"""On ne réussira jamais à faire taire nos voix""",,Le Voyageur,,,8 mars 1989,1989-03-08,1989-03-08,p. 1-3,,,,Compte rendu,"La Nuit sur l'étang|Lalonde, Michel|Bourse Bertrand|Plus-que-parfait|Mokombo|Aymar, Marcel"
730,N'importe où le vent nous souffle,"DE LA RIVA, Paul",Le Voyageur,,,29 mars 1989,1989-03-29,1989-03-29,p. 7,,,,Portrait,"Mokombo|Labelle, Jean-Guy (Chuck)|Gibson, Gary|Ayotte, Daniel|Sauvé, Marc"
731,Plus-que-parfait!!! Du bon rock en direct de Penetang,"DE LA RIVA, Paul",Le Voyageur,,,26 avril 1989,1989-04-26,1989-04-26,p. 16,,,,Portrait,"Plus-que-parfait|Lamoureux, François|Desroches, Yves|Lalonde, Jean-Marc"
732,La Brunante,,Le Voyageur,,,28 octobre 1987,1987-10-28,1987-10-28,p. 17,,,,Compte rendu,"La Brunante|Demers, Paul|Dalpé, Jean Marc|Desbiens, Patrice"
733,Ça vous mouve,"MAYER, Michel",Le Voyageur,,,19 octobre 1988,1988-10-19,1988-10-19,p. 16,,,,Compte rendu,"Dalpé, Jean Marc|Aymar, Marcel|Cris et Blues"
734,"""La Nuit nous appartient""","RENAUD, Normand",Le Voyageur,,,9 mars 1988,1988-03-09,1988-03-09,"p. 1, 10 et 15",,,,Compte rendu,"La Nuit sur l'étang|Paiement, Michel|Demers, Paul|Bourse Bertrand|Lanoix, Joëlle"
735,"Marie-Hélène Pichette, Musique populaire et identité franco-ontarienne",,Revue du Nouvel Ontario,27,,2002,2002-01-01,2002-12-31,p. 187-194,,,,Compte rendu,"Pichette, Marie-Hélène"
736,L'APCM assurera la relance d'Ontario Pop,,L'Express,,1,8 - 14 décembre 2007,2007-12-08,2007-12-14,,,,,Texte d'information,"Ontario Pop|APCM (Association des professionnels de la chanson et de la musique)|Robitaille, Damien"
737,"Robert Paquette, à l'aube d'un nouveau virage",,L'Express,,1,8 - 14 janvier 2008,2008-01-08,2008-01-14,,,,,Texte d'information,"Paquette, Robert|exode d'artistes|ANIM (Alliance nationale de l'industrie musicale)|écriture"
738,Le prix hommage trille or décerné à Paul Demers,,L'Express,,47,27 novembre - 3 décembre 2007,2007-11-27,2007-12-03,,,,,Annonce,"Gala de la chanson et de la musique franco-ontariennes|Demers, Paul|Prix hommage"
739,Michel Bénac sera porte-parole de la franco-fête 2007,,L'Express,,47,27 novembre - 3 décembre 2007,2007-11-27,2007-12-03,,,,,Texte d'information,"Bénac, Michel|Swing|Franco-fête"
740,Trille or: Amélie Lefebvre récolte le prix de l'interprète par excellence,,L'Express,,47,27 novembre - 3 décembre 2007,2007-11-27,2007-12-03,,,,,Annonce,"Gala de la chanson et de la musique franco-ontariennes|Lefebvre, Amélie|Swing|Robitaille, Damien|Lindsey, Andréa|Louis et le Voyageur|Demers, Paul"
741,Damien Robitaille au tranzac,,L'Express,,47,27 novembre - 3 décembre 2007,2007-11-27,2007-12-03,,,,,Annonce,"Robitaille, Damien"
742,Damien Robitaille au Tranzac: électrique!,,L'Express,,47,27 novembre - 3 décembre 2007,2007-11-27,2007-12-03,,,,,Compte rendu,"Robitaille, Damien"
743,Véronic Dicaire lance la franco-fête de Toronto,"BOUCHARD, Carl",L'Express,,47,27 novembre - 3 décembre 2007,2007-11-27,2007-12-03,,,,,Compte rendu,"DiCaire, Nathalie|identité"
744,Nouvelle reconnaissance pour Amélie Lefebvre,,L'Express,,47,27 novembre - 3 décembre 2007,2007-11-27,2007-12-03,,,,,Annonce,"Lefebvre, Amélie|prix Étoiles Galaxie"
745,Swing lâche un tradarnac!,"BUXEDA, Yann",L'Express,,47,27 novembre - 3 décembre 2007,2007-11-27,2007-12-03,,,,,Critique,"Swing|Tradarnac|Bénac, Michel|folklore|Goulet, Jean-Philippe|identité|musique dans les écoles"
746,"Philippe Flahaut, au hasard d'un refrain","DENIS, Dominique",L'Express,,47,27 novembre - 3 décembre 2007,2007-11-27,2007-12-03,,,,,Entrevue,"Flahaut, Philippe|écriture|blues"
747,Dernière tournée de Garolou,,Canadian  Composer,,,novembre 1983,1986-11-01,1986-11-30,p. 8,,,,Texte d'information,Garolou|Centre-Ville
748,Paquette joue le grand jeu: impeccable,"BEAUNOYER, Jean",La Presse,,,20 janvier 1985,1985-01-20,1985-01-20,p. 69,,,,Compte rendu,"Paquette, Robert"
749,Pourquoi être passé à côté de Paquette?,"BEUNOYER, Jean",La Presse,,,17 janvier 1985,1985-02-17,1985-02-17,p. Arts et spectacle B1,,,,Annonce,"Paquette, Robert|Gare à vous"
750,Robert Paquette. Un troubadour malchanceux,"BEAUNOYER, Jean",La Presse,,,9 novembre 1985,1985-11-09,1985-11-09,p. E1 et 13,,,,Portrait,"Paquette, Robert|tournées"
751,Robert Paquette au club soda. Rénover après avoir innové,"LAVOIE, Denis",La Presse,,,30 novembre 1985,1985-11-30,1985-11-30,,,,,Compte rendu,"Paquette, Robert"
752,Fourth album on the way for minstrel Paquette,"CARON, Claire",The Music Scene,,297,septembre - octobre 1977,1977-09-01,1977-10-31,p. 11,,,,Portrait,"Paquette, Robert|folk|identité"
753,Que le vrai Damien Robitaille se lève,"DENIS, Dominique",L'Express,,,31 octobre - 6 novembre 2006,2006-10-31,2006-11-06,p. 8,,,,Critique,"Robitaille, Damien|L'homme qui me ressemble"
754,Un jardin de ch(...) de la Terre,"DENIS, Dominique",L'Express,,,29 mars - 4 avril 2005,2005-03-29,2005-04-04,p. 9,,,,Critique,"Louis et le Voyageur|Quelle grande comédie|Larivière, Louis|Poirier, Sylvain"
755,"Mano Solo, ou presque","DENIS, Dominique",L'Express,,,16 - 22 novembre 1999,1999-11-16,1999-11-22,p. 10,,,,Critique,Garolou|Mémoire vive|rock|country|folklore
756,La marginalité ambitieuse de Louphi,"DENIS, Dominique",L'Express,,,14 - 20 juin 2005,2005-06-14,2005-06-20,p. 9,,,,Critique,"Grandbois, Darryn|Les Biens"
757,Véronic Dicaire: Sans détour s'enfarge,"DENIS, Dominique",L'Express,,,31 mai - 6 juin 2005,2005-05-31,2005-06-06,p. 8,,,,Critique,"DiCaire, Nathalie|Sans détour|Iceberg|Iceberg (éponyme)|Saint-Pierre, Dominique|instrumental"
,,,,,,,,,,,,,,
